Group;Marker Icon;Marker Color;Icon Color;Custom Size;Name;Image;Description;Location;Latitude;Longitude
Pco;media/Ball-Azure.256.png;;;40x40;ABATTA_PCO24;media/Ball-Azure.256.png;;Ancien Route d'Abatta, Abatta Sicta, Bingerville, Abidjan, Côte d’Ivoire;5.341138;-3.92091
Visit;fa-ice-cream;;;40x40;ABATTA_PCO51;media/icecream.jpg;;Route d'Abatta, Cité Synatresor, Genie 2000, Cocody, Abidjan, Côte d’Ivoire;5.356706;-3.92479
